variant,seed,mask_seed,grid_index,n,accuracy,macro_f1,mae,pearson_r
T0,2026,5101,26,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,27,679,0.5743740795287187,0.5477098454958185,0.618622910862292,0.5837695960723657
T0,2026,5101,28,679,0.524300441826215,0.49880744270362876,0.6530158133938667,0.5047012318090474
T0,2026,5101,29,679,0.5022091310751104,0.48391221181918853,0.6908434817515346,0.41733482185824
T0,2026,5101,30,679,0.5891016200294551,0.5624355876936593,0.6065742198339442,0.6073537957833441
T0,2026,5101,31,679,0.5596465390279823,0.5385884359914933,0.6389088230824786,0.5260527581424878
T0,2026,5101,32,679,0.49337260677466865,0.487375666287975,0.6989495261121041,0.3800360714389982
T0,2026,5101,33,679,0.5655375552282769,0.5522830274574416,0.618327763957549,0.588521630767595
T0,2026,5101,34,679,0.4948453608247423,0.49097615999024447,0.6655343595853785,0.5139594108382863
T0,2026,5101,35,679,0.46097201767304863,0.4603345042620751,0.6971355564727699,0.4318120552199469
T0,2026,5101,36,679,0.572901325478645,0.5505088305108716,0.6166607081802323,0.5757104068653657
T0,2026,5101,37,679,0.5331369661266568,0.5121434323130746,0.6512771974124333,0.5020656803676856
T0,2026,5101,38,679,0.5036818851251841,0.482984742312062,0.6942800083067351,0.4140369496651086
T0,2026,5101,39,679,0.5817378497790869,0.5541822323691262,0.6217432750693477,0.5728577994779175
T0,2026,5101,40,679,0.5581737849779087,0.5380125380300994,0.6468906237116969,0.5104372648306942
T0,2026,5101,41,679,0.48600883652430044,0.47923953914185724,0.6788013440300333,0.44188066381782787
T0,2026,5101,42,679,0.5758468335787923,0.5602487225850581,0.6146145595761567,0.5954732550193634
T0,2026,5101,43,679,0.5095729013254786,0.5039946632145198,0.6600145981571636,0.5175824878980454
T0,2026,5101,44,679,0.4653902798232695,0.46148732140689724,0.7029130896210495,0.41286167689524955
T0,2026,5101,45,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,46,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,47,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,48,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,49,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,50,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,51,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,52,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,53,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5101,54,679,0.5861561119293078,0.5562968297419804,0.6136592479754618,0.5834085698498934
T0,2026,5101,55,679,0.5360824742268041,0.5143848338322204,0.6547974762842828,0.495512411973245
T0,2026,5101,56,679,0.5095729013254786,0.49018802011759754,0.6845561369968268,0.42737251867061693
T0,2026,5101,57,679,0.5596465390279823,0.5287694853253613,0.6294880741781971,0.5650427624379707
T0,2026,5101,58,679,0.5522827687776142,0.5271021973561069,0.6422813127423597,0.512163815451502
T0,2026,5101,59,679,0.49779086892488955,0.49087111022220253,0.692254186861645,0.37974211741263036
T0,2026,5101,60,679,0.5802650957290133,0.5668417907395543,0.6167114467657718,0.5979289304384592
T0,2026,5101,61,679,0.524300441826215,0.5192106047756528,0.6454615926092959,0.5266983959583914
