variant,seed,rule,neutral_bias,condition,inconsistency_rate_all_conditions,accuracy,macro_f1,mae,pearson_r
T1,2027,dual_raw,0,clean,0.34203474383594906,0.6167582417582418,0.6031065829216797,0.5963900665820392,0.6265263501531427
T1,2027,dual_raw,0,stress,0.34203474383594906,0.5940934218611988,0.5807412751738372,0.6256883271232915,0.5823666462251603
T1,2027,dual_calibrated,-0.2,clean,0.2492638456614352,0.6414835164835165,0.6152200416918997,0.5963900665820392,0.6265263501531427
T1,2027,dual_calibrated,-0.2,stress,0.2492638456614352,0.6129997434398755,0.5845681059580731,0.6256883271232915,0.5823666462251603
T1,2028,unified,0,clean,0.0,0.603021978021978,0.5958516746671585,0.5845623651294263,0.6451678301699972
T1,2028,unified,0,stress,0.0,0.5728560102566433,0.5633471144292476,0.621345217181784,0.5944282701629916
T1,2028,dual_raw,0,clean,0.2773370416970179,0.6291208791208791,0.6175591863621451,0.5916555937281094,0.6489344789944973
T1,2028,dual_raw,0,stress,0.2773370416970179,0.6019835970783679,0.5813168794789932,0.6279133325474294,0.5986848567957554
T1,2028,dual_calibrated,-0.1,clean,0.243374610952917,0.6387362637362637,0.6229892215663699,0.5916555937281094,0.6489344789944973
T1,2028,dual_calibrated,-0.1,stress,0.243374610952917,0.6076355351105376,0.58044569392392,0.6279133325474294,0.5986848567957554
T1,2029,unified,0,clean,0.0,0.6002747252747253,0.5865228803574382,0.5922573780702366,0.6226867786538292
T1,2029,unified,0,stress,0.0,0.570743137452339,0.5595864410741973,0.6225036798421844,0.5783252966990607
T1,2029,dual_raw,0,clean,0.3476281923934398,0.6057692307692307,0.5959103513462716,0.6014096653229649,0.6278247078745435
T1,2029,dual_raw,0,stress,0.3476281923934398,0.5872715919784656,0.5763465862345523,0.6311556363704116,0.5836641931419607
T1,2029,dual_calibrated,-0.2,clean,0.28688166346599564,0.6263736263736264,0.6101325092856446,0.6014096653229649,0.6278247078745435
T1,2029,dual_calibrated,-0.2,stress,0.28688166346599564,0.6009561005078246,0.581262096968011,0.6311556363704116,0.5836641931419607
T1,2030,unified,0,clean,0.0,0.6071428571428571,0.5782258450720724,0.5974308909377554,0.6351900710484362
T1,2030,unified,0,stress,0.0,0.5743853495546065,0.5487971488270452,0.6233918914156955,0.5893102291820927
