variant,seed,mask_seed,missing_mode,position,span_fraction,n,infeasible_n,naturally_absent_n,support_negative,support_neutral,support_positive,mean_removed_steps_per_target_modality,actual_removed_observation_rate,actual_span_fraction,unique_mask_realizations_mean,one_feasible_start_n,accuracy,macro_f1,mae,pearson_r,delta_mae,delta_macro_f1
T0,2026,5101,text+audio,middle,0.35,722,6,0,206,180,336,8.317174515235457,0.35131822321010636,0.35131822321010636,3.655124653739612,4,0.5526315789473685,0.5305138164401653,0.6420850492704278,0.5249943757137004,0.049779930706664755,-0.04558565155618899
T0,2026,5101,text+audio,middle,0.55,722,6,0,206,180,336,13.016620498614959,0.5502705793652991,0.5502705793652991,3.64404432132964,10,0.4903047091412742,0.4851533111590046,0.7002099928061718,0.38470782105446083,0.1079048742424088,-0.09094615683734963
T0,2026,5101,text+audio,late,0.15,724,4,0,206,181,337,3.542817679558011,0.15198383350412228,0.15173924326471158,3.5621546961325965,7,0.56353591160221,0.5502731609558742,0.619572388862378,0.5830177608302018,0.028890890969755834,-0.027087432563024483
T0,2026,5101,text+audio,late,0.35,724,4,0,206,181,337,8.308011049723756,0.3516282327224173,0.3515275190944247,2.9751381215469612,12,0.4889502762430939,0.4863292765657373,0.6652882431546299,0.5116332404813633,0.07460674526200772,-0.09103131695316136
T0,2026,5101,text+audio,late,0.55,724,4,0,206,181,337,13.000690607734807,0.5501604856838112,0.5501892610060948,1.8535911602209945,202,0.4613259668508287,0.4601308415945121,0.6942593066526052,0.43299138052871067,0.10357780875998301,-0.11722975192438656
T0,2026,5101,text+vision,early,0.15,695,33,15,201,174,320,3.535971223021583,0.15382461866785166,0.15162910284899678,3.4244604316546763,9,0.5712230215827339,0.5481129943812144,0.6156606786113848,0.579578152731035,0.022367256279471892,-0.025601072375867062
T0,2026,5101,text+vision,early,0.35,696,32,15,200,174,322,8.278735632183908,0.3539689819559963,0.3514217322550645,2.8951149425287355,24,0.5330459770114943,0.511328637184066,0.6506087653895561,0.5059422088548348,0.057060782829749135,-0.06222931071598714
T0,2026,5101,text+vision,early,0.55,691,37,15,199,172,320,13.019536903039073,0.5510275233800501,0.5496021750273932,1.7004341534008682,266,0.5050651230101303,0.48442559468928637,0.6963881129768237,0.4155832824971362,0.10167141323410489,-0.09041763209914588
T0,2026,5101,text+vision,middle,0.15,695,33,15,199,174,322,3.537410071942446,0.15288137903757013,0.15107957931924487,3.633093525179856,10,0.581294964028777,0.552243803462287,0.6209072258832643,0.5781784365060759,0.026025283079353145,-0.02122467832022723
T0,2026,5101,text+vision,middle,0.35,700,28,15,202,174,324,8.23857142857143,0.35203990645722194,0.35117329220756244,3.617142857142857,8,0.5557142857142857,0.5338510776706404,0.6488101405756814,0.5144426831707377,0.05329948744603563,-0.039774958147946626
T0,2026,5101,text+vision,middle,0.55,698,30,15,202,174,322,12.919770773638968,0.5504711244025815,0.5503155263821218,3.681948424068768,11,0.4871060171919771,0.48029564412543435,0.6838071741868227,0.4424944940682292,0.08763013551689491,-0.0937487950563306
T0,2026,5101,text+vision,late,0.15,692,36,15,199,173,320,3.531791907514451,0.1532948278349277,0.1516506529271782,3.505780346820809,7,0.5722543352601156,0.5569903651195366,0.6160339668307001,0.5922417743137856,0.021199914201491143,-0.016809711417755224
T0,2026,5101,text+vision,late,0.35,699,29,15,200,175,324,8.23032904148784,0.35142876833584236,0.351272858380252,2.9628040057224605,18,0.5092989985693849,0.5031533530365571,0.6603668928359541,0.5193142646347104,0.06435866884151753,-0.0692620821453892
