candidate,reference,mae_difference,descriptive_cluster_ci_low,descriptive_cluster_ci_high
expression7,median_baseline,0.003784403291828517,-0.020538696213311204,0.030506441621590413
expression7,vision15,0.008960667119672793,-0.00814993381970379,0.02570564630778601
expression7,quality,-0.006349473100702477,-0.03042192185393767,0.0154156055597078
geometry_expression,vision15,-0.0002611754645369166,-0.0088466193580146,0.008540272236671906
text_expression,text,0.010409288474084243,-0.011454724447140288,0.03864663706021855
