missing_mode,position,missing_rate,mean_removed_steps,n,accuracy,macro_f1,mae,pearson_r
text,early,0.15,3.5274725274725274,728,0.5837912087912088,0.566783458087806,0.6217523813247681,0.6091252565383911
text,early,0.35,8.273351648351648,728,0.570054945054945,0.5451650494481034,0.6629095673561096,0.5451777577400208
text,early,0.55,12.946428571428571,728,0.5521978021978022,0.5198440120425936,0.6871095299720764,0.5177664756774902
text,middle,0.15,3.5274725274725274,728,0.5837912087912088,0.5670510132774284,0.6204534769058228,0.5994243621826172
text,middle,0.35,8.273351648351648,728,0.5686813186813187,0.5517381617415579,0.6291096806526184,0.5853167176246643
text,middle,0.55,12.946428571428571,728,0.5645604395604396,0.5435837352910454,0.6347446441650391,0.5660631656646729
text,late,0.15,3.5274725274725274,728,0.5782967032967034,0.5633251419812351,0.6279231309890747,0.5921967029571533
text,late,0.35,8.273351648351648,728,0.5782967032967034,0.5635200266498824,0.6311768889427185,0.5969811677932739
text,late,0.55,12.946428571428571,728,0.5535714285714286,0.5381394322161492,0.6588936448097229,0.5382673740386963
audio,early,0.15,3.517857142857143,728,0.592032967032967,0.5789570708442474,0.6096591353416443,0.619143009185791
audio,early,0.35,8.25,728,0.5989010989010989,0.5847188768780219,0.6058936715126038,0.6232283115386963
audio,early,0.55,12.910714285714286,728,0.6098901098901099,0.596171544097395,0.6059990525245667,0.6256502270698547
audio,middle,0.15,3.517857142857143,728,0.5961538461538461,0.5805193494080797,0.612460196018219,0.6162101030349731
audio,middle,0.35,8.25,728,0.6126373626373627,0.5992783055905272,0.6068273186683655,0.6212575435638428
audio,middle,0.55,12.910714285714286,728,0.6112637362637363,0.5961624479426049,0.6062878370285034,0.623093843460083
audio,late,0.15,3.5206043956043955,728,0.6016483516483516,0.5871093872715856,0.6134335398674011,0.6129255890846252
audio,late,0.35,8.252747252747254,728,0.5947802197802198,0.5797735238966082,0.6169801354408264,0.6140151619911194
audio,late,0.55,12.913461538461538,728,0.5934065934065934,0.578044542790417,0.6121196150779724,0.6138026714324951
vision,early,0.15,3.3434065934065935,728,0.5947802197802198,0.5811600405522094,0.6127663254737854,0.6155544519424438
vision,early,0.35,7.836538461538462,728,0.5906593406593407,0.5742237005232282,0.6141600608825684,0.6155033111572266
vision,early,0.55,12.26510989010989,728,0.5961538461538461,0.5807543801695026,0.6134228706359863,0.6123053431510925
vision,middle,0.15,3.3324175824175826,728,0.5892857142857143,0.5747529861861844,0.613798201084137,0.6135615110397339
vision,middle,0.35,7.815934065934066,728,0.5934065934065934,0.576310692097496,0.6133546829223633,0.6152347922325134
vision,middle,0.55,12.223901098901099,728,0.5961538461538461,0.5810038941436663,0.6138170957565308,0.6142204403877258
vision,late,0.15,3.293956043956044,728,0.5906593406593407,0.5777542284533332,0.614062488079071,0.6135044097900391
vision,late,0.35,7.743131868131868,728,0.592032967032967,0.578364911246022,0.6160812973976135,0.6086822152137756
vision,late,0.55,12.157967032967033,728,0.5865384615384616,0.5742191762387346,0.6142205595970154,0.610697865486145
text+audio,early,0.15,3.5226648351648353,728,0.5837912087912088,0.5672343047392169,0.6166441440582275,0.6144119501113892
text+audio,early,0.35,8.261675824175825,728,0.5769230769230769,0.549384413161503,0.6574580669403076,0.5495193004608154
text+audio,early,0.55,12.928571428571429,728,0.554945054945055,0.5254353758572314,0.6763744354248047,0.530971348285675
text+audio,middle,0.15,3.5226648351648353,728,0.5947802197802198,0.5775009134069895,0.6176642775535583,0.6023374795913696
text+audio,middle,0.35,8.261675824175825,728,0.5824175824175825,0.5626929058861201,0.6210921406745911,0.5928922295570374
text+audio,middle,0.55,12.928571428571429,728,0.5796703296703297,0.5592683207199338,0.6323015093803406,0.580817461013794
text+audio,late,0.15,3.5240384615384617,728,0.5879120879120879,0.5736029100551217,0.6264760494232178,0.5912927389144897
text+audio,late,0.35,8.26304945054945,728,0.5782967032967034,0.5640117251288101,0.6251696944236755,0.6038585901260376
text+audio,late,0.55,12.929945054945055,728,0.5631868131868132,0.5445138794825248,0.65589839220047,0.545479953289032
text+vision,early,0.15,3.4354395604395602,728,0.5796703296703297,0.5638406736369886,0.6200040578842163,0.6113274693489075
text+vision,early,0.35,8.054945054945055,728,0.5769230769230769,0.5489788535104965,0.6644821763038635,0.5483227968215942
text+vision,early,0.55,12.60576923076923,728,0.5576923076923077,0.5253907515802507,0.6878252029418945,0.5168429017066956
text+vision,middle,0.15,3.4299450549450547,728,0.5851648351648352,0.5681496613563272,0.6196449995040894,0.5986037254333496
