candidate,reference,mae_difference,descriptive_cluster_ci_low,descriptive_cluster_ci_high
vision15,median_baseline,-0.005176263827844275,-0.03439548019608262,0.026790937700023436
shape,median_baseline,-0.0013867997370390717,-0.030537490838440862,0.027434008418694717
vision15,framing,-0.013541700712443214,-0.0324073289026169,0.0012216792975861942
shape,quality,-0.011520676129570067,-0.034114507961990906,0.007458544381730176
text_vision,text,0.005372265194784887,-0.030321897031563523,0.04571714649688901
